## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates TAGGING_POLICY=All INPUT=[01_mappedReads/ERR1013163_sorted.bam] OUTPUT=01_mappedReads/ERR1013163_dedup.bam METRICS_FILE=02_bamSumstats/ERR1013163_dedupMetrics.txt REMOVE_DUPLICATES=false TMP_DIR=[01_mappedReads/tmp]    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed May 27 21:22:56 GMT-05:00 2020

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	0	71408	132	630	0	2674	0	0.037447	929505

## HISTOGRAM	java.lang.Double
BIN	VALUE	all_sets	non_optical_sets
1.0	1	66181	66181
2.0	1.926053	2440	2440
3.0	2.783627	107	107
4.0	3.577787	5	5
5.0	4.313221	0	0
6.0	4.994271	1	1
7.0	5.624961	0	0
8.0	6.209012	0	0
9.0	6.749875	0	0
10.0	7.250743	0	0
11.0	7.714573	0	0
12.0	8.144104	0	0
13.0	8.541873	0	0
14.0	8.910228	0	0
15.0	9.251345	0	0
16.0	9.567236	0	0
17.0	9.859769	0	0
18.0	10.13067	0	0
19.0	10.381538	0	0
20.0	10.613856	0	0
21.0	10.828994	0	0
22.0	11.028224	0	0
23.0	11.212721	0	0
24.0	11.383575	0	0
25.0	11.541795	0	0
26.0	11.688316	0	0
27.0	11.824001	0	0
28.0	11.949653	0	0
29.0	12.066013	0	0
30.0	12.173769	0	0
31.0	12.273557	0	0
32.0	12.365966	0	0
33.0	12.451541	0	0
34.0	12.530788	0	0
35.0	12.604176	0	0
36.0	12.672136	0	0
37.0	12.735071	0	0
38.0	12.793352	0	0
39.0	12.847324	0	0
40.0	12.897304	0	0
41.0	12.943589	0	0
42.0	12.98645	0	0
43.0	13.026143	0	0
44.0	13.0629	0	0
45.0	13.096939	0	0
46.0	13.128462	0	0
47.0	13.157653	0	0
48.0	13.184685	0	0
49.0	13.209719	0	0
50.0	13.232901	0	0
51.0	13.254369	0	0
52.0	13.27425	0	0
53.0	13.292661	0	0
54.0	13.30971	0	0
55.0	13.325498	0	0
56.0	13.340119	0	0
57.0	13.353659	0	0
58.0	13.366197	0	0
59.0	13.377809	0	0
60.0	13.388561	0	0
61.0	13.398519	0	0
62.0	13.40774	0	0
63.0	13.41628	0	0
64.0	13.424187	0	0
65.0	13.431511	0	0
66.0	13.438292	0	0
67.0	13.444572	0	0
68.0	13.450388	0	0
69.0	13.455774	0	0
70.0	13.460761	0	0
71.0	13.46538	0	0
72.0	13.469657	0	0
73.0	13.473618	0	0
74.0	13.477286	0	0
75.0	13.480682	0	0
76.0	13.483828	0	0
77.0	13.486741	0	0
78.0	13.489438	0	0
79.0	13.491936	0	0
80.0	13.49425	0	0
81.0	13.496392	0	0
82.0	13.498376	0	0
83.0	13.500213	0	0
84.0	13.501914	0	0
85.0	13.50349	0	0
86.0	13.504949	0	0
87.0	13.5063	0	0
88.0	13.507551	0	0
89.0	13.50871	0	0
90.0	13.509783	0	0
91.0	13.510776	0	0
92.0	13.511696	0	0
93.0	13.512549	0	0
94.0	13.513338	0	0
95.0	13.514068	0	0
96.0	13.514745	0	0
97.0	13.515372	0	0
98.0	13.515952	0	0
99.0	13.51649	0	0
100.0	13.516987	0	0

