
Clock type: CPU
Ordered by: totaltime, desc

name                                                                                                                      ncall       tsub      ttot      tavg      
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/snakemake/__init__.py:41 snakemake                    1           0.000224  11.88864  11.88864
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/snakemake/workflow.py:550 Workflow.execute            1           0.000333  7.985160  7.985160
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/snakemake/dag.py:176 DAG.init                         1           0.000244  7.497387  7.497387
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/google/api_core/retry.py:276 retry_wrapped_func       415/72      0.004623  7.254671  0.017481
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/google/api_core/retry.py:150 retry_target             415/72      0.011227  7.253746  0.017479
../ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/google/cloud/storage/_http.py:69 Connection.api_request  255         0.008078  7.033899  0.027584
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/snakemake/common/__init__.py:36 async_run             3           0.000064  6.995045  2.331682
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/asyncio/runners.py:8 run                                            3           0.000164  6.994954  2.331651
..e/ubuntu/miniconda3/envs/snakemake/lib/python3.10/asyncio/base_events.py:605 _UnixSelectorEventLoop.run_until_complete  9           0.000300  6.991097  0.776789
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/asyncio/base_events.py:582 _UnixSelectorEventLoop.run_forever       9           0.000457  6.989753  0.776639
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/asyncio/base_events.py:1806 _UnixSelectorEventLoop._run_once        27          0.000827  6.988972  0.258851
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/asyncio/events.py:78 Handle._run                                    43          0.000271  6.987175  0.162492
..buntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/google/cloud/_http/__init__.py:375 Connection.api_request  255         0.005130  6.983254  0.027385
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/snakemake/dag.py:934 DAG.update_needrun               1           0.001908  6.934511  6.934511
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/snakemake/io.py:134 IOCache.mtime_inventory           1           0.000033  6.880372  6.880372
..ntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/google/cloud/_http/__init__.py:276 Connection._make_request  255         0.005169  6.821249  0.026750
..buntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/google/cloud/_http/__init__.py:337 Connection._do_request  255         0.002951  6.802165  0.026675
..miniconda3/envs/snakemake/lib/python3.10/site-packages/google/auth/transport/requests.py:421 AuthorizedSession.request  255         0.013480  6.797524  0.026657
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/requests/sessions.py:457 Session.request              257         0.009319  6.752854  0.026276
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/snakemake/remote/GS.py:203 RemoteObject.exists        70          0.002502  6.341529  0.090593
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/snakemake/io.py:240 _IOFile.wrapper                   384/383     0.007436  6.053988  0.015766
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/snakemake/io.py:449 _IOFile.exists                    340         0.003060  5.926108  0.017430
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/snakemake/io.py:468 _IOFile.exists_remote             57          0.001009  5.856837  0.102752
