
Clock type: CPU
Ordered by: totaltime, desc

name                                                                                                                      ncall       tsub      ttot      tavg      
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/snakemake/__init__.py:41 snakemake                    1           0.000201  243.3417  243.3417
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/snakemake/workflow.py:550 Workflow.execute            1           0.000380  239.7765  239.7765
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/snakemake/dag.py:176 DAG.init                         1           0.001700  233.7181  233.7181
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/google/api_core/retry.py:276 retry_wrapped_func       16751/2868  0.134576  224.9463  0.013429
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/google/api_core/retry.py:150 retry_target             16751/2868  0.356911  224.9193  0.013427
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/snakemake/dag.py:934 DAG.update_needrun               1           0.037158  220.9122  220.9122
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/snakemake/common/__init__.py:36 async_run             2           0.000063  219.9680  109.9840
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/asyncio/runners.py:8 run                                            2           0.000122  219.9679  109.9840
..e/ubuntu/miniconda3/envs/snakemake/lib/python3.10/asyncio/base_events.py:605 _UnixSelectorEventLoop.run_until_complete  6           0.000180  219.9658  36.66097
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/asyncio/base_events.py:582 _UnixSelectorEventLoop.run_forever       6           0.000245  219.9649  36.66082
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/asyncio/base_events.py:1806 _UnixSelectorEventLoop._run_once        18          0.000561  219.9645  12.22025
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/asyncio/events.py:78 Handle._run                                    34          0.000169  219.9633  6.469510
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/snakemake/io.py:134 IOCache.mtime_inventory           1           0.000009  219.8630  219.8630
../ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/google/cloud/storage/_http.py:69 Connection.api_request  9815        0.230125  218.8374  0.022296
