BioSample,LibraryName,refGenome,fq1,fq2,lat,long,Organism,Run,BioProject
E001093_E014_1A,E001093_E014_1A_S96_L004,refGenomePlaceholder,E001093_E014_1A_S96_L004_R1_001.fastq.gz,E001093_E014_1A_S96_L004_R2_001.fastq.gz,36.604543,-121.870603,25-Enhydra,E001093_E014_1A_S96_L004,25-Enhydra
E001094_E014_1B,E001094_E014_1B_S97_L004,refGenomePlaceholder,E001094_E014_1B_S97_L004_R1_001.fastq.gz,E001094_E014_1B_S97_L004_R2_001.fastq.gz,36.883211,-121.830887,25-Enhydra,E001094_E014_1B_S97_L004,25-Enhydra
E001095_E014_1C,E001095_E014_1C_S98_L004,refGenomePlaceholder,E001095_E014_1C_S98_L004_R1_001.fastq.gz,E001095_E014_1C_S98_L004_R2_001.fastq.gz,36.909305,-121.848178,25-Enhydra,E001095_E014_1C_S98_L004,25-Enhydra
E001096_E014_1D,E001096_E014_1D_S99_L004,refGenomePlaceholder,E001096_E014_1D_S99_L004_R1_001.fastq.gz,E001096_E014_1D_S99_L004_R2_001.fastq.gz,35.068171,-120.628871,25-Enhydra,E001096_E014_1D_S99_L004,25-Enhydra
E001097_E014_1E,E001097_E014_1E_S100_L004,refGenomePlaceholder,E001097_E014_1E_S100_L004_R1_001.fastq.gz,E001097_E014_1E_S100_L004_R2_001.fastq.gz,37.12941,-122.340148,25-Enhydra,E001097_E014_1E_S100_L004,25-Enhydra
E001118_E014_4B,E001118_E014_4B_S86_L003,refGenomePlaceholder,E001118_E014_4B_S86_L003_R1_001.fastq.gz,E001118_E014_4B_S86_L003_R2_001.fastq.gz,36.612411,-121.947268,25-Enhydra,E001118_E014_4B_S86_L003,25-Enhydra
E001100_E014_1H,E001100_E014_1H_S101_L004,refGenomePlaceholder,E001100_E014_1H_S101_L004_R1_001.fastq.gz,E001100_E014_1H_S101_L004_R2_001.fastq.gz,35.440286,-120.894813,25-Enhydra,E001100_E014_1H_S101_L004,25-Enhydra
E001101_E014_2A,E001101_E014_2A_S81_L003,refGenomePlaceholder,E001101_E014_2A_S81_L003_R1_001.fastq.gz,E001101_E014_2A_S81_L003_R2_001.fastq.gz,36.905583,-121.845489,25-Enhydra,E001101_E014_2A_S81_L003,25-Enhydra
E001102_E014_2B,E001102_E014_2B_S102_L004,refGenomePlaceholder,E001102_E014_2B_S102_L004_R1_001.fastq.gz,E001102_E014_2B_S102_L004_R2_001.fastq.gz,36.957146,-121.889223,25-Enhydra,E001102_E014_2B_S102_L004,25-Enhydra
E001103_E014_2C,E001103_E014_2C_S82_L003,refGenomePlaceholder,E001103_E014_2C_S82_L003_R1_001.fastq.gz,E001103_E014_2C_S82_L003_R2_001.fastq.gz,35.069843,-120.629067,25-Enhydra,E001103_E014_2C_S82_L003,25-Enhydra
E001114_E014_3F,E001114_E014_3F_S106_L004,refGenomePlaceholder,E001114_E014_3F_S106_L004_R1_001.fastq.gz,E001114_E014_3F_S106_L004_R2_001.fastq.gz,36.55301,-121.930796,25-Enhydra,E001114_E014_3F_S106_L004,25-Enhydra
