BioSample,LibraryName,refGenome,fq1,fq2,lat,long,Organism,Run,BioProject
MVZCCGP-Cst1_I-A01,MVZCCGP-Cst1_I-A01,bCyaSte1.NCBI.p_ctg,MVZCCGP-Cst1_I-A01_R1.fastq.gz,MVZCCGP-Cst1_I-A01_R2.fastq.gz,37.79177,-122.15037,41-Cyanocitta,MVZCCGP-Cst1_I-A01,41-Cyanocitta
MVZCCGP-Cst2_I-B01,MVZCCGP-Cst2_I-B01,bCyaSte1.NCBI.p_ctg,MVZCCGP-Cst2_I-B01_R1.fastq.gz,MVZCCGP-Cst2_I-B01_R2.fastq.gz,37.60671,-122.02005,41-Cyanocitta,MVZCCGP-Cst2_I-B01,41-Cyanocitta
MVZCCGP-Cst3_I-C01,MVZCCGP-Cst3_I-C01,bCyaSte1.NCBI.p_ctg,MVZCCGP-Cst3_I-C01_R1.fastq.gz,MVZCCGP-Cst3_I-C01_R2.fastq.gz,37.84365,-122.23474,41-Cyanocitta,MVZCCGP-Cst3_I-C01,41-Cyanocitta
MVZCCGP-Cst4_I-D01,MVZCCGP-Cst4_I-D01,bCyaSte1.NCBI.p_ctg,MVZCCGP-Cst4_I-D01_R1.fastq.gz,MVZCCGP-Cst4_I-D01_R2.fastq.gz,37.84344,-122.20338,41-Cyanocitta,MVZCCGP-Cst4_I-D01,41-Cyanocitta
MVZCCGP-Cst5_I-E01,MVZCCGP-Cst5_I-E01,bCyaSte1.NCBI.p_ctg,MVZCCGP-Cst5_I-E01_R1.fastq.gz,MVZCCGP-Cst5_I-E01_R2.fastq.gz,38.7262,-119.7773,41-Cyanocitta,MVZCCGP-Cst5_I-E01,41-Cyanocitta
MVZCCGP-Cst6_II-A01,MVZCCGP-Cst6_II-A01,bCyaSte1.NCBI.p_ctg,MVZCCGP-Cst6_II-A01_R1.fastq.gz,MVZCCGP-Cst6_II-A01_R2.fastq.gz,38.73213,-119.78053,41-Cyanocitta,MVZCCGP-Cst6_II-A01,41-Cyanocitta
MVZCCGP-Cst7_I-F01,MVZCCGP-Cst7_I-F01,bCyaSte1.NCBI.p_ctg,MVZCCGP-Cst7_I-F01_R1.fastq.gz,MVZCCGP-Cst7_I-F01_R2.fastq.gz,38.73213,-119.78053,41-Cyanocitta,MVZCCGP-Cst7_I-F01,41-Cyanocitta
MVZCCGP-Cst8_I-G01,MVZCCGP-Cst8_I-G01,bCyaSte1.NCBI.p_ctg,MVZCCGP-Cst8_I-G01_R1.fastq.gz,MVZCCGP-Cst8_I-G01_R2.fastq.gz,39.3172,-122.63746,41-Cyanocitta,MVZCCGP-Cst8_I-G01,41-Cyanocitta
MVZCCGP-Cst9_I-H01,MVZCCGP-Cst9_I-H01,bCyaSte1.NCBI.p_ctg,MVZCCGP-Cst9_I-H01_R1.fastq.gz,MVZCCGP-Cst9_I-H01_R2.fastq.gz,39.3172,-122.63746,41-Cyanocitta,MVZCCGP-Cst9_I-H01,41-Cyanocitta
MVZCCGP-Cst10_I-A02,MVZCCGP-Cst10_I-A02,bCyaSte1.NCBI.p_ctg,MVZCCGP-Cst10_I-A02_R1.fastq.gz,MVZCCGP-Cst10_I-A02_R2.fastq.gz,39.3172,-122.63746,41-Cyanocitta,MVZCCGP-Cst10_I-A02,41-Cyanocitta
MVZCCGP-Cst11_I-B02,MVZCCGP-Cst11_I-B02,bCyaSte1.NCBI.p_ctg,MVZCCGP-Cst11_I-B02_R1.fastq.gz,MVZCCGP-Cst11_I-B02_R2.fastq.gz,38.0107,-122.14143,41-Cyanocitta,MVZCCGP-Cst11_I-B02,41-Cyanocitta
MVZCCGP-Cst12_I-C02,MVZCCGP-Cst12_I-C02,bCyaSte1.NCBI.p_ctg,MVZCCGP-Cst12_I-C02_R1.fastq.gz,MVZCCGP-Cst12_I-C02_R2.fastq.gz,37.98094,-122.10009,41-Cyanocitta,MVZCCGP-Cst12_I-C02,41-Cyanocitta
MVZCCGP-Cst16_I-G02,MVZCCGP-Cst16_I-G02,bCyaSte1.NCBI.p_ctg,MVZCCGP-Cst16_I-G02_R1.fastq.gz,MVZCCGP-Cst16_I-G02_R2.fastq.gz,37.96789,-122.31199,41-Cyanocitta,MVZCCGP-Cst16_I-G02,41-Cyanocitta
MVZCCGP-Cst17_II-B01,MVZCCGP-Cst17_II-B01,bCyaSte1.NCBI.p_ctg,MVZCCGP-Cst17_II-B01_R1.fastq.gz,MVZCCGP-Cst17_II-B01_R2.fastq.gz,37.87734,-121.87112,41-Cyanocitta,MVZCCGP-Cst17_II-B01,41-Cyanocitta
MVZCCGP-Cst13_I-D02,MVZCCGP-Cst13_I-D02,bCyaSte1.NCBI.p_ctg,MVZCCGP-Cst13_I-D02_R1.fastq.gz,MVZCCGP-Cst13_I-D02_R2.fastq.gz,37.90141,-122.08049,41-Cyanocitta,MVZCCGP-Cst13_I-D02,41-Cyanocitta
MVZCCGP-Cst15_I-F02,MVZCCGP-Cst15_I-F02,bCyaSte1.NCBI.p_ctg,MVZCCGP-Cst15_I-F02_R1.fastq.gz,MVZCCGP-Cst15_I-F02_R2.fastq.gz,37.93718,-122.09574,41-Cyanocitta,MVZCCGP-Cst15_I-F02,41-Cyanocitta
MVZCCGP-Cst18_I-H02,MVZCCGP-Cst18_I-H02,bCyaSte1.NCBI.p_ctg,MVZCCGP-Cst18_I-H02_R1.fastq.gz,MVZCCGP-Cst18_I-H02_R2.fastq.gz,37.86557,-122.15202,41-Cyanocitta,MVZCCGP-Cst18_I-H02,41-Cyanocitta
MVZCCGP-Cst14_I-E02,MVZCCGP-Cst14_I-E02,bCyaSte1.NCBI.p_ctg,MVZCCGP-Cst14_I-E02_R1.fastq.gz,MVZCCGP-Cst14_I-E02_R2.fastq.gz,37.85992,-122.13447,41-Cyanocitta,MVZCCGP-Cst14_I-E02,41-Cyanocitta
MVZCCGP-Cst20_I-A03,MVZCCGP-Cst20_I-A03,bCyaSte1.NCBI.p_ctg,MVZCCGP-Cst20_I-A03_R1.fastq.gz,MVZCCGP-Cst20_I-A03_R2.fastq.gz,41.9145,-124.04522,41-Cyanocitta,MVZCCGP-Cst20_I-A03,41-Cyanocitta
MVZCCGP-Cst21_II-C01,MVZCCGP-Cst21_II-C01,bCyaSte1.NCBI.p_ctg,MVZCCGP-Cst21_II-C01_R1.fastq.gz,MVZCCGP-Cst21_II-C01_R2.fastq.gz,41.9145,-124.04522,41-Cyanocitta,MVZCCGP-Cst21_II-C01,41-Cyanocitta
MVZCCGP-Cst23_I-C03,MVZCCGP-Cst23_I-C03,bCyaSte1.NCBI.p_ctg,MVZCCGP-Cst23_I-C03_R1.fastq.gz,MVZCCGP-Cst23_I-C03_R2.fastq.gz,38.69865,-120.45555,41-Cyanocitta,MVZCCGP-Cst23_I-C03,41-Cyanocitta
MVZCCGP-Cst22_I-B03,MVZCCGP-Cst22_I-B03,bCyaSte1.NCBI.p_ctg,MVZCCGP-Cst22_I-B03_R1.fastq.gz,MVZCCGP-Cst22_I-B03_R2.fastq.gz,41.9145,-124.04522,41-Cyanocitta,MVZCCGP-Cst22_I-B03,41-Cyanocitta
MVZCCGP-Cst24_II-D01,MVZCCGP-Cst24_II-D01,bCyaSte1.NCBI.p_ctg,MVZCCGP-Cst24_II-D01_R1.fastq.gz,MVZCCGP-Cst24_II-D01_R2.fastq.gz,38.69865,-120.45555,41-Cyanocitta,MVZCCGP-Cst24_II-D01,41-Cyanocitta
MVZCCGP-Cst25_II-E01,MVZCCGP-Cst25_II-E01,bCyaSte1.NCBI.p_ctg,MVZCCGP-Cst25_II-E01_R1.fastq.gz,MVZCCGP-Cst25_II-E01_R2.fastq.gz,38.69865,-120.45555,41-Cyanocitta,MVZCCGP-Cst25_II-E01,41-Cyanocitta
MVZCCGP-Cst30_II-H01,MVZCCGP-Cst30_II-H01,bCyaSte1.NCBI.p_ctg,MVZCCGP-Cst30_II-H01_R1.fastq.gz,MVZCCGP-Cst30_II-H01_R2.fastq.gz,40.21351,-124.13241,41-Cyanocitta,MVZCCGP-Cst30_II-H01,41-Cyanocitta
MVZCCGP-Cst28_I-D03,MVZCCGP-Cst28_I-D03,bCyaSte1.NCBI.p_ctg,MVZCCGP-Cst28_I-D03_R1.fastq.gz,MVZCCGP-Cst28_I-D03_R2.fastq.gz,37.07529,-119.17293,41-Cyanocitta,MVZCCGP-Cst28_I-D03,41-Cyanocitta
MVZCCGP-Cst29_II-G01,MVZCCGP-Cst29_II-G01,bCyaSte1.NCBI.p_ctg,MVZCCGP-Cst29_II-G01_R1.fastq.gz,MVZCCGP-Cst29_II-G01_R2.fastq.gz,37.07529,-119.17293,41-Cyanocitta,MVZCCGP-Cst29_II-G01,41-Cyanocitta
