BioSample,LibraryName,refGenome,fq1,fq2,lat,long,Organism,Run,BioProject
MVZCCGP_Mme1-I_A01,MVZCCGP_Mme1-I_A01_S54,GCA_022749695.1,MVZCCGP_Mme1-I_A01_S54_R1_001.fastq.gz,MVZCCGP_Mme1-I_A01_S54_R2_001.fastq.gz,37.506531,-122.093714,41-Melospiza,MVZCCGP_Mme1-I_A01_S54,41-Melospiza
MVZCCGP_Mme2-I_B01,MVZCCGP_Mme2-I_B01_S53,GCA_022749695.1,MVZCCGP_Mme2-I_B01_S53_R1_001.fastq.gz,MVZCCGP_Mme2-I_B01_S53_R2_001.fastq.gz,37.506531,-122.093714,41-Melospiza,MVZCCGP_Mme2-I_B01_S53,41-Melospiza
MVZCCGP_Mme3-I_C01,MVZCCGP_Mme3-I_C01_S52,GCA_022749695.1,MVZCCGP_Mme3-I_C01_S52_R1_001.fastq.gz,MVZCCGP_Mme3-I_C01_S52_R2_001.fastq.gz,37.506531,-122.093714,41-Melospiza,MVZCCGP_Mme3-I_C01_S52,41-Melospiza
MVZCCGP_Mme4-I_D01,MVZCCGP_Mme4-I_D01_S51,GCA_022749695.1,MVZCCGP_Mme4-I_D01_S51_R1_001.fastq.gz,MVZCCGP_Mme4-I_D01_S51_R2_001.fastq.gz,37.506531,-122.093714,41-Melospiza,MVZCCGP_Mme4-I_D01_S51,41-Melospiza
MVZCCGP_Mme5-I_E01,MVZCCGP_Mme5-I_E01_S50,GCA_022749695.1,MVZCCGP_Mme5-I_E01_S50_R1_001.fastq.gz,MVZCCGP_Mme5-I_E01_S50_R2_001.fastq.gz,37.506531,-122.093714,41-Melospiza,MVZCCGP_Mme5-I_E01_S50,41-Melospiza
MVZCCGP_Mme6-I_F01,MVZCCGP_Mme6-I_F01_S49,GCA_022749695.1,MVZCCGP_Mme6-I_F01_S49_R1_001.fastq.gz,MVZCCGP_Mme6-I_F01_S49_R2_001.fastq.gz,37.506531,-122.093714,41-Melospiza,MVZCCGP_Mme6-I_F01_S49,41-Melospiza
MVZCCGP_Mme8-I_G01,MVZCCGP_Mme8-I_G01_S48,GCA_022749695.1,MVZCCGP_Mme8-I_G01_S48_R1_001.fastq.gz,MVZCCGP_Mme8-I_G01_S48_R2_001.fastq.gz,37.9017901,-121.7847986,41-Melospiza,MVZCCGP_Mme8-I_G01_S48,41-Melospiza
MVZCCGP_Mme9-I_H01,MVZCCGP_Mme9-I_H01_S47,GCA_022749695.1,MVZCCGP_Mme9-I_H01_S47_R1_001.fastq.gz,MVZCCGP_Mme9-I_H01_S47_R2_001.fastq.gz,37.9017901,-121.7847986,41-Melospiza,MVZCCGP_Mme9-I_H01_S47,41-Melospiza
MVZCCGP_Mme10-I_A02,MVZCCGP_Mme10-I_A02_S46,GCA_022749695.1,MVZCCGP_Mme10-I_A02_S46_R1_001.fastq.gz,MVZCCGP_Mme10-I_A02_S46_R2_001.fastq.gz,37.9017901,-121.7847986,41-Melospiza,MVZCCGP_Mme10-I_A02_S46,41-Melospiza
MVZCCGP_Mme15-I_B02,MVZCCGP_Mme15-I_B02_S45,GCA_022749695.1,MVZCCGP_Mme15-I_B02_S45_R1_001.fastq.gz,MVZCCGP_Mme15-I_B02_S45_R2_001.fastq.gz,36.9871383,-119.7192783,41-Melospiza,MVZCCGP_Mme15-I_B02_S45,41-Melospiza
MVZCCGP_Mme20-I_D02,MVZCCGP_Mme20-I_D02_S43,GCA_022749695.1,MVZCCGP_Mme20-I_D02_S43_R1_001.fastq.gz,MVZCCGP_Mme20-I_D02_S43_R2_001.fastq.gz,33.1658,-115.6173,41-Melospiza,MVZCCGP_Mme20-I_D02_S43,41-Melospiza
MVZCCGP_Mme19-I_C02,MVZCCGP_Mme19-I_C02_S44,GCA_022749695.1,MVZCCGP_Mme19-I_C02_S44_R1_001.fastq.gz,MVZCCGP_Mme19-I_C02_S44_R2_001.fastq.gz,33.1658,-115.6173,41-Melospiza,MVZCCGP_Mme19-I_C02_S44,41-Melospiza
MVZCCGP_Mme21-I_E02,MVZCCGP_Mme21-I_E02_S42,GCA_022749695.1,MVZCCGP_Mme21-I_E02_S42_R1_001.fastq.gz,MVZCCGP_Mme21-I_E02_S42_R2_001.fastq.gz,33.1658,-115.6173,41-Melospiza,MVZCCGP_Mme21-I_E02_S42,41-Melospiza
MVZCCGP_Mme22-I_F02,MVZCCGP_Mme22-I_F02_S41,GCA_022749695.1,MVZCCGP_Mme22-I_F02_S41_R1_001.fastq.gz,MVZCCGP_Mme22-I_F02_S41_R2_001.fastq.gz,37.432159,-118.099737,41-Melospiza,MVZCCGP_Mme22-I_F02_S41,41-Melospiza
MVZCCGP_Mme23-I_G02,MVZCCGP_Mme23-I_G02_S40,GCA_022749695.1,MVZCCGP_Mme23-I_G02_S40_R1_001.fastq.gz,MVZCCGP_Mme23-I_G02_S40_R2_001.fastq.gz,37.432159,-118.099737,41-Melospiza,MVZCCGP_Mme23-I_G02_S40,41-Melospiza
MVZCCGP_Mme24-I_H02,MVZCCGP_Mme24-I_H02_S39,GCA_022749695.1,MVZCCGP_Mme24-I_H02_S39_R1_001.fastq.gz,MVZCCGP_Mme24-I_H02_S39_R2_001.fastq.gz,37.426865,-118.065594,41-Melospiza,MVZCCGP_Mme24-I_H02_S39,41-Melospiza
MVZCCGP_Mme25-I_A03,MVZCCGP_Mme25-I_A03_S38,GCA_022749695.1,MVZCCGP_Mme25-I_A03_S38_R1_001.fastq.gz,MVZCCGP_Mme25-I_A03_S38_R2_001.fastq.gz,35.730572,-118.172416,41-Melospiza,MVZCCGP_Mme25-I_A03_S38,41-Melospiza
MVZCCGP_Mme26-I_B03,MVZCCGP_Mme26-I_B03_S37,GCA_022749695.1,MVZCCGP_Mme26-I_B03_S37_R1_001.fastq.gz,MVZCCGP_Mme26-I_B03_S37_R2_001.fastq.gz,35.730572,-118.172416,41-Melospiza,MVZCCGP_Mme26-I_B03_S37,41-Melospiza
MVZCCGP_Mme28-I_D03,MVZCCGP_Mme28-I_D03_S35,GCA_022749695.1,MVZCCGP_Mme28-I_D03_S35_R1_001.fastq.gz,MVZCCGP_Mme28-I_D03_S35_R2_001.fastq.gz,40.663347,-120.794605,41-Melospiza,MVZCCGP_Mme28-I_D03_S35,41-Melospiza
MVZCCGP_Mme27-I_C03,MVZCCGP_Mme27-I_C03_S36,GCA_022749695.1,MVZCCGP_Mme27-I_C03_S36_R1_001.fastq.gz,MVZCCGP_Mme27-I_C03_S36_R2_001.fastq.gz,35.730572,-118.172416,41-Melospiza,MVZCCGP_Mme27-I_C03_S36,41-Melospiza
MVZCCGP_Mme30-I_E03,MVZCCGP_Mme30-I_E03_S34,GCA_022749695.1,MVZCCGP_Mme30-I_E03_S34_R1_001.fastq.gz,MVZCCGP_Mme30-I_E03_S34_R2_001.fastq.gz,40.9338,-120.20491,41-Melospiza,MVZCCGP_Mme30-I_E03_S34,41-Melospiza
MVZCCGP_Mme31-I_F03,MVZCCGP_Mme31-I_F03_S33,GCA_022749695.1,MVZCCGP_Mme31-I_F03_S33_R1_001.fastq.gz,MVZCCGP_Mme31-I_F03_S33_R2_001.fastq.gz,34.6980419,-118.1367378,41-Melospiza,MVZCCGP_Mme31-I_F03_S33,41-Melospiza
MVZCCGP_Mme33-I_G03,MVZCCGP_Mme33-I_G03_S32,GCA_022749695.1,MVZCCGP_Mme33-I_G03_S32_R1_001.fastq.gz,MVZCCGP_Mme33-I_G03_S32_R2_001.fastq.gz,34.6980419,-118.1367378,41-Melospiza,MVZCCGP_Mme33-I_G03_S32,41-Melospiza
MVZCCGP_Mme34-I_H03,MVZCCGP_Mme34-I_H03_S31,GCA_022749695.1,MVZCCGP_Mme34-I_H03_S31_R1_001.fastq.gz,MVZCCGP_Mme34-I_H03_S31_R2_001.fastq.gz,34.6980419,-118.1367378,41-Melospiza,MVZCCGP_Mme34-I_H03_S31,41-Melospiza
MVZCCGP_Mme35-I_A04,MVZCCGP_Mme35-I_A04_S30,GCA_022749695.1,MVZCCGP_Mme35-I_A04_S30_R1_001.fastq.gz,MVZCCGP_Mme35-I_A04_S30_R2_001.fastq.gz,34.1444969,-118.1300507,41-Melospiza,MVZCCGP_Mme35-I_A04_S30,41-Melospiza
MVZCCGP_Mme36-I_B04,MVZCCGP_Mme36-I_B04_S29,GCA_022749695.1,MVZCCGP_Mme36-I_B04_S29_R1_001.fastq.gz,MVZCCGP_Mme36-I_B04_S29_R2_001.fastq.gz,34.2763939,-118.361187,41-Melospiza,MVZCCGP_Mme36-I_B04_S29,41-Melospiza
MVZCCGP_Mme37-I_C04,MVZCCGP_Mme37-I_C04_S28,GCA_022749695.1,MVZCCGP_Mme37-I_C04_S28_R1_001.fastq.gz,MVZCCGP_Mme37-I_C04_S28_R2_001.fastq.gz,38.01273,-122.4905,41-Melospiza,MVZCCGP_Mme37-I_C04_S28,41-Melospiza
