BioSample,LibraryName,refGenome,fq1,fq2,lat,long,Organism,Run,BioProject
MVZCCGP-Psa1_I-F04,MVZCCGP-Psa1_I-F04_S107,GCA_022577445.1,MVZCCGP-Psa1_I-F04_S107_R1_001.fastq.gz,MVZCCGP-Psa1_I-F04_S107_R2_001.fastq.gz,40.859,-124.113,41-Passerculus,MVZCCGP-Psa1_I-F04_S107,41-Passerculus
MVZCCGP-Psa2_I-G04,MVZCCGP-Psa2_I-G04_S105,GCA_022577445.1,MVZCCGP-Psa2_I-G04_S105_R1_001.fastq.gz,MVZCCGP-Psa2_I-G04_S105_R2_001.fastq.gz,40.859,-124.113,41-Passerculus,MVZCCGP-Psa2_I-G04_S105,41-Passerculus
MVZCCGP-Psa3_I-H04,MVZCCGP-Psa3_I-H04_S104,GCA_022577445.1,MVZCCGP-Psa3_I-H04_S104_R1_001.fastq.gz,MVZCCGP-Psa3_I-H04_S104_R2_001.fastq.gz,40.859,-124.113,41-Passerculus,MVZCCGP-Psa3_I-H04_S104,41-Passerculus
MVZCCGP-Psa4_I-A05,MVZCCGP-Psa4_I-A05_S106,GCA_022577445.1,MVZCCGP-Psa4_I-A05_S106_R1_001.fastq.gz,MVZCCGP-Psa4_I-A05_S106_R2_001.fastq.gz,40.859,-124.113,41-Passerculus,MVZCCGP-Psa4_I-A05_S106,41-Passerculus
MVZCCGP-Psa5_I-B05,MVZCCGP-Psa5_I-B05_S66,GCA_022577445.1,MVZCCGP-Psa5_I-B05_S66_R1_001.fastq.gz,MVZCCGP-Psa5_I-B05_S66_R2_001.fastq.gz,40.859,-124.113,41-Passerculus,MVZCCGP-Psa5_I-B05_S66,41-Passerculus
MVZCCGP-Psa6_II-C08,MVZCCGP-Psa6_II-C08_S34,GCA_022577445.1,MVZCCGP-Psa6_II-C08_S34_R1_001.fastq.gz,MVZCCGP-Psa6_II-C08_S34_R2_001.fastq.gz,37.93065,-122.74009,41-Passerculus,MVZCCGP-Psa6_II-C08_S34,41-Passerculus
MVZCCGP-Psa7_I-G10,MVZCCGP-Psa7_I-G10_S8,GCA_022577445.1,MVZCCGP-Psa7_I-G10_S8_R1_001.fastq.gz,MVZCCGP-Psa7_I-G10_S8_R2_001.fastq.gz,34.0293477,-118.4896,41-Passerculus,MVZCCGP-Psa7_I-G10_S8,41-Passerculus
MVZCCGP-Psa8_II-B01,MVZCCGP-Psa8_II-B01_S134,GCA_022577445.1,MVZCCGP-Psa8_II-B01_S134_R1_001.fastq.gz,MVZCCGP-Psa8_II-B01_S134_R2_001.fastq.gz,38.063889,-122.822778,41-Passerculus,MVZCCGP-Psa8_II-B01_S134,41-Passerculus
MVZCCGP-Psa9_I-B08,MVZCCGP-Psa9_I-B08_S31,GCA_022577445.1,MVZCCGP-Psa9_I-B08_S31_R1_001.fastq.gz,MVZCCGP-Psa9_I-B08_S31_R2_001.fastq.gz,38.20835,-122.3403833,41-Passerculus,MVZCCGP-Psa9_I-B08_S31,41-Passerculus
MVZCCGP-Psa10_I-C08,MVZCCGP-Psa10_I-C08_S29,GCA_022577445.1,MVZCCGP-Psa10_I-C08_S29_R1_001.fastq.gz,MVZCCGP-Psa10_I-C08_S29_R2_001.fastq.gz,38.20835,-122.3403833,41-Passerculus,MVZCCGP-Psa10_I-C08_S29,41-Passerculus
