BioSample,LibraryName,refGenome,fq1,fq2,lat,long,Organism,Run,BioProject
B1148,CCGPMC010_B1148_S167_L002,mUrsAme1.4.p_ctg,CCGPMC010_B1148_S167_L002_R1_001.fastq.gz,CCGPMC010_B1148_S167_L002_R2_001.fastq.gz,40.06269,-122.83453,59-Ursus,CCGPMC010_B1148_S167_L002,59-Ursus
B1148,CCGPMC010_B1148_S95,mUrsAme1.4.p_ctg,CCGPMC010_B1148_S95_R1_001.fastq.gz,CCGPMC010_B1148_S95_R2_001.fastq.gz,40.06269,-122.83453,59-Ursus,CCGPMC010_B1148_S95,59-Ursus
B1286,CCGPMC010_B1286_S94,mUrsAme1.4.p_ctg,CCGPMC010_B1286_S94_R1_001.fastq.gz,CCGPMC010_B1286_S94_R2_001.fastq.gz,36.264207,-118.858337,59-Ursus,CCGPMC010_B1286_S94,59-Ursus
B1286,CCGPMC010_B1286_S166_L002,mUrsAme1.4.p_ctg,CCGPMC010_B1286_S166_L002_R1_001.fastq.gz,CCGPMC010_B1286_S166_L002_R2_001.fastq.gz,36.264207,-118.858337,59-Ursus,CCGPMC010_B1286_S166_L002,59-Ursus
B1316,CCGPMC010_B1316_S93,mUrsAme1.4.p_ctg,CCGPMC010_B1316_S93_R1_001.fastq.gz,CCGPMC010_B1316_S93_R2_001.fastq.gz,34.012827,-116.585884,59-Ursus,CCGPMC010_B1316_S93,59-Ursus
B1316,CCGPMC010_B1316_S165_L002,mUrsAme1.4.p_ctg,CCGPMC010_B1316_S165_L002_R1_001.fastq.gz,CCGPMC010_B1316_S165_L002_R2_001.fastq.gz,34.012827,-116.585884,59-Ursus,CCGPMC010_B1316_S165_L002,59-Ursus
B1347,CCGPMC010_B1347_S164_L002,mUrsAme1.4.p_ctg,CCGPMC010_B1347_S164_L002_R1_001.fastq.gz,CCGPMC010_B1347_S164_L002_R2_001.fastq.gz,39.702961,-120.421143,59-Ursus,CCGPMC010_B1347_S164_L002,59-Ursus
B1347,CCGPMC010_B1347_S92,mUrsAme1.4.p_ctg,CCGPMC010_B1347_S92_R1_001.fastq.gz,CCGPMC010_B1347_S92_R2_001.fastq.gz,39.702961,-120.421143,59-Ursus,CCGPMC010_B1347_S92,59-Ursus
B1350,CCGPMC010_B1350_S162_L002,mUrsAme1.4.p_ctg,CCGPMC010_B1350_S162_L002_R1_001.fastq.gz,CCGPMC010_B1350_S162_L002_R2_001.fastq.gz,39.988942,-122.904659,59-Ursus,CCGPMC010_B1350_S162_L002,59-Ursus
B1350,CCGPMC010_B1350_S90,mUrsAme1.4.p_ctg,CCGPMC010_B1350_S90_R1_001.fastq.gz,CCGPMC010_B1350_S90_R2_001.fastq.gz,39.988942,-122.904659,59-Ursus,CCGPMC010_B1350_S90,59-Ursus
B1395,CCGPMC010_B1395_S161_L002,mUrsAme1.4.p_ctg,CCGPMC010_B1395_S161_L002_R1_001.fastq.gz,CCGPMC010_B1395_S161_L002_R2_001.fastq.gz,40.994929,-121.404419,59-Ursus,CCGPMC010_B1395_S161_L002,59-Ursus
B1395,CCGPMC010_B1395_S89,mUrsAme1.4.p_ctg,CCGPMC010_B1395_S89_R1_001.fastq.gz,CCGPMC010_B1395_S89_R2_001.fastq.gz,40.994929,-121.404419,59-Ursus,CCGPMC010_B1395_S89,59-Ursus
B1355,CCGPMC010_B1355_S163_L002,mUrsAme1.4.p_ctg,CCGPMC010_B1355_S163_L002_R1_001.fastq.gz,CCGPMC010_B1355_S163_L002_R2_001.fastq.gz,34.001016,-116.693859,59-Ursus,CCGPMC010_B1355_S163_L002,59-Ursus
B1355,CCGPMC010_B1355_S91,mUrsAme1.4.p_ctg,CCGPMC010_B1355_S91_R1_001.fastq.gz,CCGPMC010_B1355_S91_R2_001.fastq.gz,34.001016,-116.693859,59-Ursus,CCGPMC010_B1355_S91,59-Ursus
B0450,CCGPMC010_B0450_S160_L002,mUrsAme1.4.p_ctg,CCGPMC010_B0450_S160_L002_R1_001.fastq.gz,CCGPMC010_B0450_S160_L002_R2_001.fastq.gz,39.297543,-122.087393,59-Ursus,CCGPMC010_B0450_S160_L002,59-Ursus
B0450,CCGPMC010_B0450_S88,mUrsAme1.4.p_ctg,CCGPMC010_B0450_S88_R1_001.fastq.gz,CCGPMC010_B0450_S88_R2_001.fastq.gz,39.297543,-122.087393,59-Ursus,CCGPMC010_B0450_S88,59-Ursus
B0870,CCGPMC010_B0870_S159_L002,mUrsAme1.4.p_ctg,CCGPMC010_B0870_S159_L002_R1_001.fastq.gz,CCGPMC010_B0870_S159_L002_R2_001.fastq.gz,38.736769,-120.46016,59-Ursus,CCGPMC010_B0870_S159_L002,59-Ursus
B0870,CCGPMC010_B0870_S87,mUrsAme1.4.p_ctg,CCGPMC010_B0870_S87_R1_001.fastq.gz,CCGPMC010_B0870_S87_R2_001.fastq.gz,38.736769,-120.46016,59-Ursus,CCGPMC010_B0870_S87,59-Ursus
B0604,CCGPMC010_B0604_S158_L002,mUrsAme1.4.p_ctg,CCGPMC010_B0604_S158_L002_R1_001.fastq.gz,CCGPMC010_B0604_S158_L002_R2_001.fastq.gz,39.696621,-123.735151,59-Ursus,CCGPMC010_B0604_S158_L002,59-Ursus
