BioSample,LibraryName,refGenome,fq1,fq2,lat,long,Organism,Run,BioProject
LYRU003,CCGPMC006_LYRU003_S16,GCA_022079265.1,CCGPMC006_LYRU003_S16_R1_001.fastq.gz,CCGPMC006_LYRU003_S16_R2_001.fastq.gz,41.093746,-123.669108,97-Lynx,CCGPMC006_LYRU003_S16,97-Lynx
LYRU001,CCGPMC006_LYRU001_S18,GCA_022079265.1,CCGPMC006_LYRU001_S18_R1_001.fastq.gz,CCGPMC006_LYRU001_S18_R2_001.fastq.gz,36.819038,-118.263738,97-Lynx,CCGPMC006_LYRU001_S18,97-Lynx
LYRU005,CCGPMC006_LYRU005_S14,GCA_022079265.1,CCGPMC006_LYRU005_S14_R1_001.fastq.gz,CCGPMC006_LYRU005_S14_R2_001.fastq.gz,40.567813,-121.299806,97-Lynx,CCGPMC006_LYRU005_S14,97-Lynx
LYRU008,CCGPMC006_LYRU008_S11,GCA_022079265.1,CCGPMC006_LYRU008_S11_R1_001.fastq.gz,CCGPMC006_LYRU008_S11_R2_001.fastq.gz,36.619731,-118.201253,97-Lynx,CCGPMC006_LYRU008_S11,97-Lynx
LYRU009,CCGPMC006_LYRU009_S10,GCA_022079265.1,CCGPMC006_LYRU009_S10_R1_001.fastq.gz,CCGPMC006_LYRU009_S10_R2_001.fastq.gz,36.527788,-118.102777,97-Lynx,CCGPMC006_LYRU009_S10,97-Lynx
LYRU010,CCGPMC006_LYRU010_S9,GCA_022079265.1,CCGPMC006_LYRU010_S9_R1_001.fastq.gz,CCGPMC006_LYRU010_S9_R2_001.fastq.gz,36.937719,-118.31412,97-Lynx,CCGPMC006_LYRU010_S9,97-Lynx
LYRU011,CCGPMC006_LYRU011_S8,GCA_022079265.1,CCGPMC006_LYRU011_S8_R1_001.fastq.gz,CCGPMC006_LYRU011_S8_R2_001.fastq.gz,37.046078,-118.28996,97-Lynx,CCGPMC006_LYRU011_S8,97-Lynx
LYRU012,CCGPMC006_LYRU012_S7,GCA_022079265.1,CCGPMC006_LYRU012_S7_R1_001.fastq.gz,CCGPMC006_LYRU012_S7_R2_001.fastq.gz,36.774177,-118.256738,97-Lynx,CCGPMC006_LYRU012_S7,97-Lynx
LYRU014,CCGPMC006_LYRU014_S5,GCA_022079265.1,CCGPMC006_LYRU014_S5_R1_001.fastq.gz,CCGPMC006_LYRU014_S5_R2_001.fastq.gz,35.17718,-119.55642,97-Lynx,CCGPMC006_LYRU014_S5,97-Lynx
LYRU013,CCGPMC006_LYRU013_S6,GCA_022079265.1,CCGPMC006_LYRU013_S6_R1_001.fastq.gz,CCGPMC006_LYRU013_S6_R2_001.fastq.gz,37.433229,-118.410189,97-Lynx,CCGPMC006_LYRU013_S6,97-Lynx
LYRU015,CCGPMC006_LYRU015_S4,GCA_022079265.1,CCGPMC006_LYRU015_S4_R1_001.fastq.gz,CCGPMC006_LYRU015_S4_R2_001.fastq.gz,38.10329,-122.58058,97-Lynx,CCGPMC006_LYRU015_S4,97-Lynx
LYRU016,CCGPMC006_LYRU016_S3,GCA_022079265.1,CCGPMC006_LYRU016_S3_R1_001.fastq.gz,CCGPMC006_LYRU016_S3_R2_001.fastq.gz,39.12431,-122.81063,97-Lynx,CCGPMC006_LYRU016_S3,97-Lynx
LYRU017,CCGPMC006_LYRU017_S2,GCA_022079265.1,CCGPMC006_LYRU017_S2_R1_001.fastq.gz,CCGPMC006_LYRU017_S2_R2_001.fastq.gz,34.43306,-117.4407,97-Lynx,CCGPMC006_LYRU017_S2,97-Lynx
LYRU018,CCGPMC006_LYRU018_S1,GCA_022079265.1,CCGPMC006_LYRU018_S1_R1_001.fastq.gz,CCGPMC006_LYRU018_S1_R2_001.fastq.gz,38.5201,-122.48406,97-Lynx,CCGPMC006_LYRU018_S1,97-Lynx
LYRU019,CCGPMC006_LYRU019_S48,GCA_022079265.1,CCGPMC006_LYRU019_S48_R1_001.fastq.gz,CCGPMC006_LYRU019_S48_R2_001.fastq.gz,34.10845,-118.592585,97-Lynx,CCGPMC006_LYRU019_S48,97-Lynx
LYRU020,CCGPMC006_LYRU020_S47,GCA_022079265.1,CCGPMC006_LYRU020_S47_R1_001.fastq.gz,CCGPMC006_LYRU020_S47_R2_001.fastq.gz,37.07204,-122.13158,97-Lynx,CCGPMC006_LYRU020_S47,97-Lynx
LYRU021,CCGPMC006_LYRU021_S46,GCA_022079265.1,CCGPMC006_LYRU021_S46_R1_001.fastq.gz,CCGPMC006_LYRU021_S46_R2_001.fastq.gz,34.02641,-117.00906,97-Lynx,CCGPMC006_LYRU021_S46,97-Lynx
LYRU022,CCGPMC006_LYRU022_S45,GCA_022079265.1,CCGPMC006_LYRU022_S45_R1_001.fastq.gz,CCGPMC006_LYRU022_S45_R2_001.fastq.gz,34.10845,-118.592585,97-Lynx,CCGPMC006_LYRU022_S45,97-Lynx
LYRU023,CCGPMC006_LYRU023_S44,GCA_022079265.1,CCGPMC006_LYRU023_S44_R1_001.fastq.gz,CCGPMC006_LYRU023_S44_R2_001.fastq.gz,36.95451,-121.42908,97-Lynx,CCGPMC006_LYRU023_S44,97-Lynx
LYRU025,CCGPMC006_LYRU025_S17,GCA_022079265.1,CCGPMC006_LYRU025_S17_R1_001.fastq.gz,CCGPMC006_LYRU025_S17_R2_001.fastq.gz,38.58346,-121.32414,97-Lynx,CCGPMC006_LYRU025_S17,97-Lynx
LYRU024,CCGPMC006_LYRU024_S43,GCA_022079265.1,CCGPMC006_LYRU024_S43_R1_001.fastq.gz,CCGPMC006_LYRU024_S43_R2_001.fastq.gz,34.42194,-118.52627,97-Lynx,CCGPMC006_LYRU024_S43,97-Lynx
LYRU026,CCGPMC006_LYRU026_S15,GCA_022079265.1,CCGPMC006_LYRU026_S15_R1_001.fastq.gz,CCGPMC006_LYRU026_S15_R2_001.fastq.gz,37.40005,-121.78126,97-Lynx,CCGPMC006_LYRU026_S15,97-Lynx
LYRU027,CCGPMC006_LYRU027_S13,GCA_022079265.1,CCGPMC006_LYRU027_S13_R1_001.fastq.gz,CCGPMC006_LYRU027_S13_R2_001.fastq.gz,37.214755,-121.747267,97-Lynx,CCGPMC006_LYRU027_S13,97-Lynx
LYRU028,CCGPMC006_LYRU028_S12,GCA_022079265.1,CCGPMC006_LYRU028_S12_R1_001.fastq.gz,CCGPMC006_LYRU028_S12_R2_001.fastq.gz,37.223795,-121.751287,97-Lynx,CCGPMC006_LYRU028_S12,97-Lynx
LYRU035,CCGPMC006_LYRU035_S42,GCA_022079265.1,CCGPMC006_LYRU035_S42_R1_001.fastq.gz,CCGPMC006_LYRU035_S42_R2_001.fastq.gz,33.101941,-117.184696,97-Lynx,CCGPMC006_LYRU035_S42,97-Lynx
LYRU036,CCGPMC006_LYRU036_S41,GCA_022079265.1,CCGPMC006_LYRU036_S41_R1_001.fastq.gz,CCGPMC006_LYRU036_S41_R2_001.fastq.gz,32.838813,-116.682954,97-Lynx,CCGPMC006_LYRU036_S41,97-Lynx
LYRU037,CCGPMC006_LYRU037_S40,GCA_022079265.1,CCGPMC006_LYRU037_S40_R1_001.fastq.gz,CCGPMC006_LYRU037_S40_R2_001.fastq.gz,32.727885,-116.894429,97-Lynx,CCGPMC006_LYRU037_S40,97-Lynx
LYRU038,CCGPMC006_LYRU038_S39,GCA_022079265.1,CCGPMC006_LYRU038_S39_R1_001.fastq.gz,CCGPMC006_LYRU038_S39_R2_001.fastq.gz,33.150964,-116.850016,97-Lynx,CCGPMC006_LYRU038_S39,97-Lynx
LYRU039,CCGPMC006_LYRU039_S38,GCA_022079265.1,CCGPMC006_LYRU039_S38_R1_001.fastq.gz,CCGPMC006_LYRU039_S38_R2_001.fastq.gz,32.962507,-116.92421,97-Lynx,CCGPMC006_LYRU039_S38,97-Lynx
LYRU040,CCGPMC006_LYRU040_S37,GCA_022079265.1,CCGPMC006_LYRU040_S37_R1_001.fastq.gz,CCGPMC006_LYRU040_S37_R2_001.fastq.gz,37.912528,-122.65422,97-Lynx,CCGPMC006_LYRU040_S37,97-Lynx
LYRU041,CCGPMC006_LYRU041_S36,GCA_022079265.1,CCGPMC006_LYRU041_S36_R1_001.fastq.gz,CCGPMC006_LYRU041_S36_R2_001.fastq.gz,37.974078,-122.728003,97-Lynx,CCGPMC006_LYRU041_S36,97-Lynx
LYRU042,CCGPMC006_LYRU042_S35,GCA_022079265.1,CCGPMC006_LYRU042_S35_R1_001.fastq.gz,CCGPMC006_LYRU042_S35_R2_001.fastq.gz,34.152189,-118.726106,97-Lynx,CCGPMC006_LYRU042_S35,97-Lynx
LYRU043,CCGPMC006_LYRU043_S34,GCA_022079265.1,CCGPMC006_LYRU043_S34_R1_001.fastq.gz,CCGPMC006_LYRU043_S34_R2_001.fastq.gz,34.185831,-118.744705,97-Lynx,CCGPMC006_LYRU043_S34,97-Lynx
LYRU044,CCGPMC006_LYRU044_S33,GCA_022079265.1,CCGPMC006_LYRU044_S33_R1_001.fastq.gz,CCGPMC006_LYRU044_S33_R2_001.fastq.gz,34.193574,-118.884854,97-Lynx,CCGPMC006_LYRU044_S33,97-Lynx
LYRU045,CCGPMC006_LYRU045_S32,GCA_022079265.1,CCGPMC006_LYRU045_S32_R1_001.fastq.gz,CCGPMC006_LYRU045_S32_R2_001.fastq.gz,34.208064,-118.830782,97-Lynx,CCGPMC006_LYRU045_S32,97-Lynx
LYRU046,CCGPMC006_LYRU046_S31,GCA_022079265.1,CCGPMC006_LYRU046_S31_R1_001.fastq.gz,CCGPMC006_LYRU046_S31_R2_001.fastq.gz,34.165376,-118.80656,97-Lynx,CCGPMC006_LYRU046_S31,97-Lynx
LYRU049,CCGPMC006_LYRU049_S28,GCA_022079265.1,CCGPMC006_LYRU049_S28_R1_001.fastq.gz,CCGPMC006_LYRU049_S28_R2_001.fastq.gz,34.1330301,-118.5306941,97-Lynx,CCGPMC006_LYRU049_S28,97-Lynx
LYRU052,CCGPMC006_LYRU052_S25,GCA_022079265.1,CCGPMC006_LYRU052_S25_R1_001.fastq.gz,CCGPMC006_LYRU052_S25_R2_001.fastq.gz,34.0803541,-118.7393429,97-Lynx,CCGPMC006_LYRU052_S25,97-Lynx
LYRU047,CCGPMC006_LYRU047_S30,GCA_022079265.1,CCGPMC006_LYRU047_S30_R1_001.fastq.gz,CCGPMC006_LYRU047_S30_R2_001.fastq.gz,34.170034,-118.787165,97-Lynx,CCGPMC006_LYRU047_S30,97-Lynx
LYRU050,CCGPMC006_LYRU050_S27,GCA_022079265.1,CCGPMC006_LYRU050_S27_R1_001.fastq.gz,CCGPMC006_LYRU050_S27_R2_001.fastq.gz,34.210235,-118.793179,97-Lynx,CCGPMC006_LYRU050_S27,97-Lynx
LYRU048,CCGPMC006_LYRU048_S29,GCA_022079265.1,CCGPMC006_LYRU048_S29_R1_001.fastq.gz,CCGPMC006_LYRU048_S29_R2_001.fastq.gz,34.0800143,-118.5783979,97-Lynx,CCGPMC006_LYRU048_S29,97-Lynx
LYRU051,CCGPMC006_LYRU051_S26,GCA_022079265.1,CCGPMC006_LYRU051_S26_R1_001.fastq.gz,CCGPMC006_LYRU051_S26_R2_001.fastq.gz,34.1326819,-119.0049972,97-Lynx,CCGPMC006_LYRU051_S26,97-Lynx
LYRU053,CCGPMC006_LYRU053_S24,GCA_022079265.1,CCGPMC006_LYRU053_S24_R1_001.fastq.gz,CCGPMC006_LYRU053_S24_R2_001.fastq.gz,34.126665,-118.456823,97-Lynx,CCGPMC006_LYRU053_S24,97-Lynx
LYRU055,CCGPMC006_LYRU055_S22,GCA_022079265.1,CCGPMC006_LYRU055_S22_R1_001.fastq.gz,CCGPMC006_LYRU055_S22_R2_001.fastq.gz,34.149492,-118.733188,97-Lynx,CCGPMC006_LYRU055_S22,97-Lynx
LYRU056,CCGPMC006_LYRU056_S21,GCA_022079265.1,CCGPMC006_LYRU056_S21_R1_001.fastq.gz,CCGPMC006_LYRU056_S21_R2_001.fastq.gz,34.204285,-118.837451,97-Lynx,CCGPMC006_LYRU056_S21,97-Lynx
LYRU054,CCGPMC006_LYRU054_S23,GCA_022079265.1,CCGPMC006_LYRU054_S23_R1_001.fastq.gz,CCGPMC006_LYRU054_S23_R2_001.fastq.gz,34.11377,-118.341366,97-Lynx,CCGPMC006_LYRU054_S23,97-Lynx
LYRU057,CCGPMC006_LYRU057_S20,GCA_022079265.1,CCGPMC006_LYRU057_S20_R1_001.fastq.gz,CCGPMC006_LYRU057_S20_R2_001.fastq.gz,34.183055,-118.789609,97-Lynx,CCGPMC006_LYRU057_S20,97-Lynx
LYRU058,CCGPMC006_LYRU058_S19,GCA_022079265.1,CCGPMC006_LYRU058_S19_R1_001.fastq.gz,CCGPMC006_LYRU058_S19_R2_001.fastq.gz,34.1371188,-118.8496054,97-Lynx,CCGPMC006_LYRU058_S19,97-Lynx
