BioSample,LibraryName,refGenome,Organism,fq1,fq2,Run,BioProject
MVZCCGP-AbeI_A01,MVZCCGP-AbeI_A01_S1_L001,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_A01_S1_L001_R1_001.fastq.gz,MVZCCGP-AbeI_A01_S1_L001_R2_001.fastq.gz,MVZCCGP-AbeI_A01_S1_L001,PRJNA778814
MVZCCGP-AbeI_A01,MVZCCGP-AbeI_A01,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_A01_R1.fastq.gz,MVZCCGP-AbeI_A01_R2.fastq.gz,MVZCCGP-AbeI_A01,PRJNA778814
MVZCCGP-AbeI_B01,MVZCCGP-AbeI_B01,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_B01_R1.fastq.gz,MVZCCGP-AbeI_B01_R2.fastq.gz,MVZCCGP-AbeI_B01,PRJNA778814
MVZCCGP-AbeI_B01,MVZCCGP-AbeI_B01_S13_L001,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_B01_S13_L001_R1_001.fastq.gz,MVZCCGP-AbeI_B01_S13_L001_R2_001.fastq.gz,MVZCCGP-AbeI_B01_S13_L001,PRJNA778814
MVZCCGP-AbeI_C01,MVZCCGP-AbeI_C01,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_C01_R1.fastq.gz,MVZCCGP-AbeI_C01_R2.fastq.gz,MVZCCGP-AbeI_C01,PRJNA778814
MVZCCGP-AbeI_C01,MVZCCGP-AbeI_C01_S25_L001,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_C01_S25_L001_R1_001.fastq.gz,MVZCCGP-AbeI_C01_S25_L001_R2_001.fastq.gz,MVZCCGP-AbeI_C01_S25_L001,PRJNA778814
MVZCCGP-AbeI_D01,MVZCCGP-AbeI_D01_S37_L001,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_D01_S37_L001_R1_001.fastq.gz,MVZCCGP-AbeI_D01_S37_L001_R2_001.fastq.gz,MVZCCGP-AbeI_D01_S37_L001,PRJNA778814
MVZCCGP-AbeI_D01,MVZCCGP-AbeI_D01,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_D01_R1.fastq.gz,MVZCCGP-AbeI_D01_R2.fastq.gz,MVZCCGP-AbeI_D01,PRJNA778814
MVZCCGP-AbeI_E01,MVZCCGP-AbeI_E01,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_E01_R1.fastq.gz,MVZCCGP-AbeI_E01_R2.fastq.gz,MVZCCGP-AbeI_E01,PRJNA778814
MVZCCGP-AbeI_E01,MVZCCGP-AbeI_E01_S49_L001,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_E01_S49_L001_R1_001.fastq.gz,MVZCCGP-AbeI_E01_S49_L001_R2_001.fastq.gz,MVZCCGP-AbeI_E01_S49_L001,PRJNA778814
MVZCCGP-AbeI_F01,MVZCCGP-AbeI_F01,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_F01_R1.fastq.gz,MVZCCGP-AbeI_F01_R2.fastq.gz,MVZCCGP-AbeI_F01,PRJNA778814
MVZCCGP-AbeI_F01,MVZCCGP-AbeI_F01_S61_L001,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_F01_S61_L001_R1_001.fastq.gz,MVZCCGP-AbeI_F01_S61_L001_R2_001.fastq.gz,MVZCCGP-AbeI_F01_S61_L001,PRJNA778814
MVZCCGP-AbeI_G01,MVZCCGP-AbeI_G01_S73_L001,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_G01_S73_L001_R1_001.fastq.gz,MVZCCGP-AbeI_G01_S73_L001_R2_001.fastq.gz,MVZCCGP-AbeI_G01_S73_L001,PRJNA778814
MVZCCGP-AbeI_G01,MVZCCGP-AbeI_G01,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_G01_R1.fastq.gz,MVZCCGP-AbeI_G01_R2.fastq.gz,MVZCCGP-AbeI_G01,PRJNA778814
MVZCCGP-AbeI_H01,MVZCCGP-AbeI_H01,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_H01_R1.fastq.gz,MVZCCGP-AbeI_H01_R2.fastq.gz,MVZCCGP-AbeI_H01,PRJNA778814
MVZCCGP-AbeI_H01,MVZCCGP-AbeI_H01_S85_L001,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_H01_S85_L001_R1_001.fastq.gz,MVZCCGP-AbeI_H01_S85_L001_R2_001.fastq.gz,MVZCCGP-AbeI_H01_S85_L001,PRJNA778814
MVZCCGP-AbeI_A02,MVZCCGP-AbeI_A02_S2_L001,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_A02_S2_L001_R1_001.fastq.gz,MVZCCGP-AbeI_A02_S2_L001_R2_001.fastq.gz,MVZCCGP-AbeI_A02_S2_L001,PRJNA778814
MVZCCGP-AbeI_A02,MVZCCGP-AbeI_A02,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_A02_R1.fastq.gz,MVZCCGP-AbeI_A02_R2.fastq.gz,MVZCCGP-AbeI_A02,PRJNA778814
MVZCCGP-AbeI_B02,MVZCCGP-AbeI_B02_S14_L001,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_B02_S14_L001_R1_001.fastq.gz,MVZCCGP-AbeI_B02_S14_L001_R2_001.fastq.gz,MVZCCGP-AbeI_B02_S14_L001,PRJNA778814
MVZCCGP-AbeI_B02,MVZCCGP-AbeI_B02,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_B02_R1.fastq.gz,MVZCCGP-AbeI_B02_R2.fastq.gz,MVZCCGP-AbeI_B02,PRJNA778814
