BioSample,LibraryName,refGenome,Organism,fq1,fq2,lat,long,Run,BioProject
FRA05,FRA05_S1_L001,GCA_022045235.1,Haliotis cracherodii,FRA05_S1_L001_R1_001.fastq.gz,FRA05_S1_L001_R2_001.fastq.gz,37.14943,-122.36049,FRA05_S1_L001,x
FRA05,FRA05_S1_L003,GCA_022045235.1,Haliotis cracherodii,FRA05_S1_L003_R1_001.fastq.gz,FRA05_S1_L003_R2_001.fastq.gz,37.14943,-122.36049,FRA05_S1_L003,x
FRA05,FRA05_S1_L002,GCA_022045235.1,Haliotis cracherodii,FRA05_S1_L002_R1_001.fastq.gz,FRA05_S1_L002_R2_001.fastq.gz,37.14943,-122.36049,FRA05_S1_L002,x
FRA05,FRA05_S1_L004,GCA_022045235.1,Haliotis cracherodii,FRA05_S1_L004_R1_001.fastq.gz,FRA05_S1_L004_R2_001.fastq.gz,37.14943,-122.36049,FRA05_S1_L004,x
FRA06,FRA06_S2_L003,GCA_022045235.1,Haliotis cracherodii,FRA06_S2_L003_R1_001.fastq.gz,FRA06_S2_L003_R2_001.fastq.gz,37.14943,-122.36049,FRA06_S2_L003,x
FRA06,FRA06_S2_L004,GCA_022045235.1,Haliotis cracherodii,FRA06_S2_L004_R1_001.fastq.gz,FRA06_S2_L004_R2_001.fastq.gz,37.14943,-122.36049,FRA06_S2_L004,x
FRA06,FRA06_S2_L001,GCA_022045235.1,Haliotis cracherodii,FRA06_S2_L001_R1_001.fastq.gz,FRA06_S2_L001_R2_001.fastq.gz,37.14943,-122.36049,FRA06_S2_L001,x
FRA06,FRA06_S2_L002,GCA_022045235.1,Haliotis cracherodii,FRA06_S2_L002_R1_001.fastq.gz,FRA06_S2_L002_R2_001.fastq.gz,37.14943,-122.36049,FRA06_S2_L002,x
FRA09,FRA09_S3_L004,GCA_022045235.1,Haliotis cracherodii,FRA09_S3_L004_R1_001.fastq.gz,FRA09_S3_L004_R2_001.fastq.gz,37.14951,-122.36102,FRA09_S3_L004,x
FRA09,FRA09_S3_L001,GCA_022045235.1,Haliotis cracherodii,FRA09_S3_L001_R1_001.fastq.gz,FRA09_S3_L001_R2_001.fastq.gz,37.14951,-122.36102,FRA09_S3_L001,x
FRA09,FRA09_S3_L002,GCA_022045235.1,Haliotis cracherodii,FRA09_S3_L002_R1_001.fastq.gz,FRA09_S3_L002_R2_001.fastq.gz,37.14951,-122.36102,FRA09_S3_L002,x
FRA09,FRA09_S3_L003,GCA_022045235.1,Haliotis cracherodii,FRA09_S3_L003_R1_001.fastq.gz,FRA09_S3_L003_R2_001.fastq.gz,37.14951,-122.36102,FRA09_S3_L003,x
SOB04,SOB04_S4_L003,GCA_022045235.1,Haliotis cracherodii,SOB04_S4_L003_R1_001.fastq.gz,SOB04_S4_L003_R2_001.fastq.gz,36.44789801,-121.928631,SOB04_S4_L003,x
SOB10,SOB10_S5_L003,GCA_022045235.1,Haliotis cracherodii,SOB10_S5_L003_R1_001.fastq.gz,SOB10_S5_L003_R2_001.fastq.gz,36.44788904,-121.928722,SOB10_S5_L003,x
SWC07,SWC07_S6_L003,GCA_022045235.1,Haliotis cracherodii,SWC07_S6_L003_R1_001.fastq.gz,SWC07_S6_L003_R2_001.fastq.gz,36.56090199,-121.940489,SWC07_S6_L003,x
SRFP17,SRFP17_S4_L001,GCA_022045235.1,Haliotis cracherodii,SRFP17_S4_L001_R1_001.fastq.gz,SRFP17_S4_L001_R2_001.fastq.gz,33.9145,-120.050317,SRFP17_S4_L001,x
SRFP17,SRFP17_S7_L003,GCA_022045235.1,Haliotis cracherodii,SRFP17_S7_L003_R1_001.fastq.gz,SRFP17_S7_L003_R2_001.fastq.gz,33.9145,-120.050317,SRFP17_S7_L003,x
SRFP17,SRFP17_S4_L003,GCA_022045235.1,Haliotis cracherodii,SRFP17_S4_L003_R1_001.fastq.gz,SRFP17_S4_L003_R2_001.fastq.gz,33.9145,-120.050317,SRFP17_S4_L003,x
SRFP17,SRFP17_S4_L004,GCA_022045235.1,Haliotis cracherodii,SRFP17_S4_L004_R1_001.fastq.gz,SRFP17_S4_L004_R2_001.fastq.gz,33.9145,-120.050317,SRFP17_S4_L004,x
SRFP17,SRFP17_S4_L002,GCA_022045235.1,Haliotis cracherodii,SRFP17_S4_L002_R1_001.fastq.gz,SRFP17_S4_L002_R2_001.fastq.gz,33.9145,-120.050317,SRFP17_S4_L002,x
SCT11,SCT11_S8_L003,GCA_022045235.1,Haliotis cracherodii,SCT11_S8_L003_R1_001.fastq.gz,SCT11_S8_L003_R2_001.fastq.gz,37.05037203,-122.242855,SCT11_S8_L003,x
SCT11,SCT11_S5_L001,GCA_022045235.1,Haliotis cracherodii,SCT11_S5_L001_R1_001.fastq.gz,SCT11_S5_L001_R2_001.fastq.gz,37.05037203,-122.242855,SCT11_S5_L001,x
