Species-project,Genus,GenusSpeciesSuborVar
66-Acarospora,Acarospora,Acarospora socialis
55-Acmispon,Acmispon,Acmispon strigosus
58-Actinemys,Actinemys,Actinemys marmorata
58-Actinemys,Actinemys,Actinemys pallida
61-Agelaius,Agelaius,Agelaius tricolor
CDFA-Anastrepha,Anastrepha,Anastrepha ludens
58-Anaxyrus,Anaxyrus,Anaxyrus canorus
58-Anaxyrus,Anaxyrus,Anaxyrus boreas
58-Anaxyrus,Anaxyrus,Anaxyrus exsul
58-Anniella,Anniella,Anniella grinnelli
58-Anniella,Anniella,Anniella stebbinsi
58-Anniella,Anniella,Anniella alexanderae
58-Anniella,Anniella,Anniella campi
58-Anniella,Anniella,Anniella pulchra
17-Anthopleura,Anthopleura,Anthopleura sola
70-Aphelocoma,Aphelocoma,Aphelocoma californica
70-Aphelocoma,Aphelocoma,Aphelocoma woodhouseii
70-Aphelocoma,Aphelocoma,Aphelocoma insularis
102-Apodemia,Apodemia,Apodemia mormo
11-Aptostichus,Aptostichus,Aptostichus simus
11-Aptostichus,Aptostichus,Aptostichus miwok
11-Aptostichus,Aptostichus,Aptostichus stephencolberti
98-Aquila,Aquila,Aquila chrysaetos
32-Aquilegia,Aquilegia,Aquilegia pubescens
32-Aquilegia,Aquilegia,Aquilegia formosa
32-Aquilegia,Aquilegia,Aquilegia eximia
35-Arctostaphylos,Arctostaphylos,Arctostaphylos pechoensis
35-Arctostaphylos,Arctostaphylos,Arctostaphylos rainbowensis
35-Arctostaphylos,Arctostaphylos,Arctostaphylos luciana
35-Arctostaphylos,Arctostaphylos,Arctostaphylos pajaroensis
35-Arctostaphylos,Arctostaphylos,Arctostaphylos glauca
35-Arctostaphylos,Arctostaphylos,Arctostaphylos montereyensis
35-Arctostaphylos,Arctostaphylos,Arctostaphylos otayensis
16-Ariolimax,Ariolimax,Ariolimax dolichophallus
16-Ariolimax,Ariolimax,Ariolimax californicus
16-Ariolimax,Ariolimax,Ariolimax columbianus
79-Aristolochia,Aristolochia,Aristolochia californica Torr.
58-Arizona,Arizona,Arizona elegans
41-Artemisiospiza,Artemisiospiza,Artemisiospiza belli
58-Aspidoscelis,Aspidoscelis,Aspidoscelis tigris
39-Asterella,Asterella,Asterella californica
91-Azolla,Azolla,Azolla filiculoides
91-Azolla,Azolla,Azolla microphylla
CDFA-Bactrocera,Bactrocera,Bactrocera dorsalis
79-Battus,Battus,Battus philenor hirsuta
76-Bombus,Bombus,Bombus sonorus
76-Bombus,Bombus,Bombus crotchii
76-Bombus,Bombus,Bombus vosnesenskii
93-Brachycybe,Brachycybe,Brachycybe picta
93-Brachycybe,Brachycybe,Brachycybe sp. n.
93-Brachycybe,Brachycybe,Brachycybe producta
93-Brachycybe,Brachycybe,Brachycybe sp. n.
93-Brachycybe,Brachycybe,Brachycybe rosea
